INSTITUTION,INSTITUTION_NAME,INSTITUTION_TYPE_CODE,INSTITUTION_TYPE_EN_DESC,POSTAL_CODE,UNIV,MAIN
SSFL,Sir Sandford Fleming College,35069004,Cobourg,K9A5J4,0,0
SSFL,Sir Sandford Fleming College,35069001,Main Campus / Sutherland,K9J7B1,0,1
GRBR,George Brown College,35055003,Young Centre for the Performing Arts,M5A3C4,0,0
GRBR,George Brown College,35055011,Waterfront Campus,M5A0B6,0,0
GRBR,George Brown College,35055002,Casa Loma,M5R1M3,0,0
GRBR,George Brown College,35055001,Main Campus / St. James,M5A3W8,0,1
GRBR,George Brown College,35055006,Hospitality and Tourism Centre,M5A1N1,0,0
GRBR,George Brown College,35055004,Ryerson University,M5B2K8,0,0
GEOR,Georgian College,35056007,South Georgian Bay Campus,L9Y3Z1,0,0
GEOR,Georgian College,35056003,Owen Sound Campus,N4K5R4,0,0
GEOR,Georgian College,35056002,Orillia Campus,L3V6S2,0,0
GEOR,Georgian College,35056006,Orangeville Campus,L9W1P8,0,0
GEOR,Georgian College,35056005,Muskoka Campus,P1L1E2,0,0
GEOR,Georgian College,35056004,Midland Campus,L4R4K6,0,0
GEOR,Georgian College,35056001,Barrie Campus,L4M3X9,0,1
HUMB,Humber College,35062003,Orangeville Campus,L9W5A9,0,0
HUMB,Humber College,35062002,Lakeshore Campus and the Robert A. Gordon Learning Centre,M8V1K8,0,0
HUMB,Humber College,35062001,North Campus,M9W5L7,0,1
LACI,La Cité Collégiale,,La Cité à Toronto,M5V3B1,0,0
LACI,La Cité Collégiale,35045002,Campus Hawksbury,K6A2P3,0,0
LACI,La Cité Collégiale,35045004,Alfred,K0B1A0,0,0
LACI,La Cité Collégiale,,Campus Alphonse-Desjardins,K4A0S9,0,0
LACI,La Cité Collégiale,35045001,Main Campus,K1K4R3,0,1
LAMB,Lambton College,,Fire & Public Safety Centre of Excellence,N7T7H5,0,0
LAMB,Lambton College,35061002,Main Campus,N7S6K4,0,0
LOYT,Loyalist College,35057001,Main Campus,K8N5B9,0,1
LOYT,Loyalist College,35057002,Bancroft,K0L1C0,0,0
MOHA,Mohawk College,,Stoney Creek Campus,L8E2L7,0,0
MOHA,Mohawk College,,Institute for Applied Health Sciences,L8S1C7,0,0
MOHA,Mohawk College,35058001,Main Campus/Fennell Campus,L9C1E9,0,1
MOHA,Mohawk College,35058002,Brantford Campus,N3T5V2,0,0
MOHA,Mohawk College,35058003,Mohawk-McMaster Institute for Applied Health Sciences (IAHS),L8S1C7,0,0
MOHA,Mohawk College,35058005,Odeon Campus,N3T2Z5,0,0
MOHA,Mohawk College,35058006,Sheridan/Mississauga,L5B0G5,0,0
MOHA,Mohawk College,35058004,"Skills Trades and Apprenticeship Research, Resources and Training (STARRT) Institute",L8E2L7,0,0
NIAG,Niagara College,35059002,Niagara-on-the-Lake Campus,L0S1J0,0,0
NIAG,Niagara College,35059003,Niagara Falls Campus,L2G2N9,0,0
NIAG,Niagara College,35059001,Welland Campus,L3C7L3,0,1
NORT,Northern College,,Moosonee Campus,P0L1Y0,0,0
NORT,Northern College,35063005,Kirkland Lake Campus,P2N3L8,0,0
NORT,Northern College,35063002,Haileybury Campus,P0J1K0,0,0
